Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A financial institution uses Snowflake Cortex LLM functions to process customer feedback. They initially used SNOWFLAKE.CORTEX.SENTIMENT for general sentiment analysis. Now, they need to extract specific sentiment categories (e.g., 'service_quality', 'product_pricing') and the sentiment for each, expecting the output in a structured JSON format for automated downstream processing. Which AI_COMPLETE configuration best addresses their new requirement while considering cost-efficiency and output reliability?",multiple-choice,"SELECT AI_COMPLETE( model => 'mistral-7b', prompt => 'Analyze sentiment categories: service_quality, product_pricing from: ', response_format => {'type': 'json', 'schema': {'type': 'object', 'properties': {'service_quality': {'type': 'string'}, 'product_pricing': {'type': 'string'}}}} );",,"SELECT AI_COMPLETE( model => 'claude-3-5-sonnet', prompt => 'Respond in JSON. Extract service_quality and product_pricing sentiment from: ', response_format => {'type': 'json', 'schema': {'type': 'object', 'properties': {'service_quality': {'type': 'string', 'description': 'Sentiment for service quality'}, 'product_pricing': {'type': 'string', 'description': 'Sentiment for product pricing'}}, 'required': ['service_quality', 'product_pricing']}} );",,"SELECT AI_COMPLETE( model => 'llama3-8b', prompt => 'Give me sentiment for service_quality and product_pricing in JSON from: ', options => {'temperature': 1.0} );",,"SELECT AI_COMPLETE( model => 'mistral-large2', prompt => 'Extract sentiment for service_quality and product_pricing from: ', options => {'guardrails': TRUE} );",,"SELECT SNOWFLAKE.CORTEX.CLASSIFY_TEXT( input => '', list_of_categories => ['service_quality_positive', 'service_quality_negative', 'product_pricing_positive', 'product_pricing_negative'] );",,,,1,,
"A Gen AI Specialist is setting up their Snowflake environment to deploy a high-performance open-source LLM for real-time inference using Snowpark Container Services (SPCS). They need to create a compute pool that can leverage NVIDIA GPUs to optimize model performance. Which of the following SQL statements correctly creates a compute pool capable of supporting an intensive GPU usage scenario, such as serving LLMs, while adhering to common configuration best practices for a new, small-scale deployment in Snowpark Container Services? (select all that apply)",multi-select,CREATE COMPUTE POOL llm_gpu_pool MIN_NODES=1 MAX_NODES=2 INSTANCE_FAMILY=CPU_X64_M AUTO_SUSPEND_SECS=3600;,,CREATE COMPUTE POOL llm_gpu_pool MIN_NODES=1 MAX_NODES=10 INSTANCE_FAMILY=GPU_NV_S AUTO_RESUME=TRUE;,,CREATE COMPUTE POOL llm_gpu_pool MIN_NODES=2 MAX_NODES=4 INSTANCE_FAMILY=HIGHMEM_X64_L AUTO_SUSPEND_SECS=0;,,CREATE COMPUTE POOL llm_gpu_pool MIN_NODES=1 MAX_NODES=12 INSTANCE_FAMILY=GPU_NV_M AUTO_SUSPEND_SECS=1800;,,CREATE COMPUTE POOL llm_gpu_pool MIN_NODES=1 MAX_NODES=10 INSTANCE_FAMILY=CPU_X64_XS AUTO_RESUME=FALSE;,,,,"2,4",,
A data engineering team is setting up a Retrieval Augmented Generation (RAG) application using Snowflake Cortex Search to provide contextual answers from customer support transcripts. The transcripts are stored in a Snowflake table named SUPPORT_TRANSCRIPTS. Which of the following statements are crucial considerations or accurate facts regarding the initial setup and configuration of the Cortex Search Service for this use case? (Select all that apply),multi-select,"The CREATE CORTEX SEARCH SERVICE command requires that CHANGE_TRACKING = TRUE be enabled on the source table, especially if the role creating the service is not the table owner. This ensures that the service can track updates to the base data.",,"Snowflake recommends using a dedicated virtual warehouse of any size, including X-Large or 2X-Large, for each Cortex Search Service to ensure the fastest possible materialization of search indexes during creation and refresh.",,Columns specified in the ATTRIBUTES field during service creation are only used for filtering search results and do not need to be present in the source query.,,"Cortex Search is designed to get users up and running quickly with a hybrid (vector and keyword) search engine on text data, handling embedding, infrastructure maintenance, and search quality parameter tuning automatically.",,The Cortex Search Service can effectively be used as a RAG engine for LLM chatbots by leveraging semantic search capabilities to provide customized and contextualized responses from the text data.,,,,"1,4,5",,
"A development team is building a RAG application in Snowflake Cortex that needs to extract high-fidelity text and layout from a collection of technical documentation PDFs stored in an internal stage to power semantic search and LLM responses. They want to ensure proper context retrieval for complex user queries. Given this scenario, which of the following actions or statements are crucial for effectively leveraging AI_PARSE_DOCUMENT to optimize the RAG pipeline? (select all that apply)",multi-select,"The team should utilize AI_PARSE_DOCUMENT in OCR mode to ensure layout preservation and proper reading order, which is critical for high-fidelity context retrieval in RAG.",,"Documents must be uploaded to a directory table enabled stage, and the TO_FILE function with the @stage_name reference should be used to provide file access to AI_PARSE_DOCUMENT for processing.",,"For optimal RAG performance, the extracted text from documents should be chunked into smaller segments, ideally no more than 512 tokens, before being embedded into vector space for semantic search.",,"AI_PARSE_DOCUMENT is specifically designed for entity extraction and summarization, and is not recommended for high-fidelity text and layout extraction required for RAG applications.",,"If the documents contain images with text, using a separate OCR service prior to AI_PARSE_DOCUMENT is necessary because AI_PARSE_DOCUMENT can only process digital-born text.",,,,"2,3",,
"A development team is creating a new search application using Snowflake Cortex Search. They are currently using a 'snowflake-arctic-embed-l-v2.0' embedding model. After an initial load of 10 million rows, each with approximately 500 tokens of text, they want to minimize 'EMBED_TEXT_TOKENS' costs for future updates and ongoing operations. Considering their goal to optimize 'EMBED_TEXT_TOKENS' costs, which two strategies should the team prioritize for their Cortex Search Service? (Select all that apply)",multi-select,"Select an embedding model with a lower credit cost per million tokens, such as snowflake-arctic-embed-m-v1.5, if its performance is sufficient for their use case.",,"Implement a text chunking strategy using functions like SPLIT_TOKENS_RECURSIVE_CHARACTER to break down each 500-token row into smaller chunks, effectively reducing the total number of tokens processed for embeddings.",,"Increase the TARGET_LAG for the Cortex Search Service to reduce the frequency of automatic refreshes, thus decreasing the number of times embedding jobs are executed.",,Upgrade the virtual warehouse size assigned to the Cortex Search Service to an 'L' or 'XL' to accelerate the embedding process and reduce the overall EMBED_TEXT_TOKENS billing duration.,,"Reduce the number of attributes specified in the 'CREATE_CORTEX_SEARCH_SERVICE' statement, as each attribute incurs a separate embedding cost.",,,,"1,3",,
"A data scientist fine-tuned a mistral-7b model in Snowflake for a specific customer support response generation task, naming it my_custom_responder_model. They now want to make this model available for AI_COMPLETE calls in production, ensuring proper access control and regional availability. Which of the following statements is true regarding the deployment and management of this fine-tuned model in Snowflake?",multiple-choice,"To make my_custom_responder_model available for inference, the data scientist must register it in the Snowflake Model Registry using the snowflake.ml.registry.Registry().log_model() Python API, as it is a custom model.",,"If my_custom_responder_model was fine-tuned in AWS US West 2 (Oregon) but needs to be used for inference in an Azure East US 2 (Virginia) account, cross-region inference will be automatically handled by Snowflake Cortex without any explicit parameter configuration.",,"Administrators can restrict access to my_custom_responder_model and other specific LLMs within the account by setting the CORTEX_MODELS_ALLOWLIST account parameter, which controls model availability for Cortex LLM functions.",,Any user role calling AI_COMPLETE with my_custom_responder_model must have the SNOWFLAKE_DOCUMENT_INTELLIGENCE_CREATOR database role granted to access fine-tuned models.,,"To update my_custom_responder_model with new training data and improve its performance, the existing model can be directly updated using an ALTER_SNOWFLAKE_CORTEX_FINETUNE 'UPDATE' SQL command, specifying the new training data.",,,,3,,
A data analyst needs to use SNOWFLAKE.CORTEX.EXTRACT_ANSWER to streamline information retrieval from various contract documents. They are new to Cortex functions and want to understand access requirements and optimal usage. Which of the following statements about using SNOWFLAKE.CORTEX.EXTRACT_ANSWER are correct? (Select all that apply),multi-select,The analyst's role must be granted the SNOWFLAKE.CORTEX_USER database role to execute EXTRACT_ANSWER functions.,,"For optimal accuracy, the source_document input should be in plain English, and the question should be specific, asking for a single value.",,"If EXTRACT_ANSWER encounters an unresolvable issue during processing, it returns NULL instead of an error, similar to TRY_COMPLETE.",,"EXTRACT_ANSWER is the most current and recommended function for all text extraction tasks, offering multi-label and image extraction capabilities.",,"It is generally recommended to process multiple documents by applying EXTRACT_ANSWER to a table column containing the document texts, allowing for efficient batch processing.",,,,"1,2,5",,
"An administrator has configured the CORTEX_MODELS_ALLOWLIST parameter to only permit the mistral-large model at the account level. A user with a role, which has been granted SNOWFLAKE.CORTEX_USER and SNOWFLAKE.CORTEX_MODEL_ROLE_LLAMA3.1-70B, attempts to execute several queries. Which of the following queries will successfully execute?",multiple-choice,"SELECT AI_COMPLETE('MISTRAL-LARGE', 'Generate a short poem about snow.');",,"SELECT AI_COMPLETE('SNOWFLAKE-MODELS', 'Explain the concept of RAG.');",,"SELECT AI_COMPLETE('llama3.1-70b', 'Describe the benefits of using Snowflake Cortex.');",,"SELECT AI_COMPLETE('snowflake-arctic', 'What are the key features of the AI Data Cloud?');",,ALTER ACCOUNT SET CORTEX_MODELS_ALLOWLIST = 'SNOWFLAKE-ARCTIC';,,,,1,,
"A team of data application developers is leveraging Snowflake Copilot to streamline the creation of analytical SQL queries within their Streamlit in Snowflake application. They observe that Copilot sometimes struggles with complex joins or provides suboptimal queries when dealing with a newly integrated, deeply nested dataset. Based on Snowflake's best practices and known limitations, which actions or considerations would help improve Copilot's performance in this scenario? (Select all that apply)",multi-select,"Implement curated views with descriptive and easy-to-understand names for views and columns, appropriate data types, and pre-define common/complex joins to simplify the underlying schema for Copilot.",,"Enable the CORTEX_MODELS_ALLOWLIST parameter to restrict Copilot to only use the largest available LLMs, thereby guaranteeing higher accuracy for complex queries.",,"Break down complex requests into simpler, multi-turn questions, as Copilot is designed to build complex queries through conversational refinement and follow-up questions.",,"Grant Copilot direct access to the raw data using ACCOUNTADMIN privileges, allowing it to infer schema relationships more effectively from data content.",,"Ensure that a database and schema are explicitly selected for the current session, and that column names are meaningful, to provide Copilot with better context for query generation.",,,,"1,3,5",,
"An ML engineer is deploying a custom PyTorch-based image classification model, obtained from Hugging Face, to Snowpark Container Services (SPCS). The deployment requires GPU acceleration on a compute pool named 'my_gpu_pool' and specific Python packages ('torch', 'transformers', 'opencv-python'). The scenario dictates that 'opencv-python' is only available via PyPI, while 'torch' and 'transformers' can be sourced from either conda-forge or PyPI. The engineer uses the Snowflake Model Registry to log the model. Which of the following log_model and create_service configurations correctly specify the necessary Python dependencies and GPU utilization for this inference service, adhering to Snowflake's recommendations? (Select all that apply)",multi-select,"pip_model = reg.log_model( my_hf_model, model_name=""image_classifier"", version_name=""v1"", pip_requirements=[""torch"", ""transformers"", ""opencv-python""], sample_input_data=sample_data ); pip_model.create_service( service_name=""image_inference_service"", service_compute_pool=""my_gpu_pool"", gpu_requests=""1"", ingress_enabled=True );",,"conda_model = reg.log_model( my_hf_model, model_name=""image_classifier"", version_name=""v2"", conda_dependencies=[""conda-forge::pytorch"", ""conda-forge::transformers"", ""conda-forge::opencv-python""], sample_input_data=sample_data ); conda_model.create_service( service_name=""image_inference_service"", service_compute_pool=""my_gpu_pool"", gpu_requests=""1"", ingress_enabled=True );",,"pip_model = reg.log_model( my_hf_model, model_name=""image_classifier"", version_name=""v3"", pip_requirements=[""torch"", ""transformers"", ""opencv-python""], sample_input_data=sample_data ); pip_model.create_service( service_name=""image_inference_service"", service_compute_pool=""my_cpu_pool"", gpu_requests=""1"", ingress_enabled=True );",,"conda_model = reg.log_model( my_hf_model, model_name=""image_classifier"", version_name=""v4"", conda_dependencies=[""pytorch"", ""transformers"", ""opencv-python""], sample_input_data=sample_data ); conda_model.create_service( service_name=""image_inference_service"", service_compute_pool=""my_gpu_pool"", gpu_requests=""1"", ingress_enabled=True );",,"mixed_deps_model = reg.log_model( my_hf_model, model_name=""image_classifier"", version_name=""v5"", conda_dependencies=[""conda-forge::torch"", ""conda-forge::transformers""], pip_requirements=[""opencv-python""], sample_input_data=sample_data ); mixed_deps_model.create_service( service_name=""image_inference_service"", service_compute_pool=""my_gpu_pool"", gpu_requests=""1"", ingress_enabled=True );",,,,"1,5",,
